"Reference","Value","Datasheet","Footprint","Qty","DNP","MPN","Description"
"BT1","Keystone_3031","datasheet/Keystone_3031.pdf","000_LOCAL:Keystone_3031","1","","Keystone 3031","Battery Retainer Coin, 10.0mm 1 Cell PC Pin"
"C1","220u","datasheets/TAJ.pdf","000_LOCAL:CP_EIA-6032-28","1","","",""
"C2,C3,C4","1u","~","000_LOCAL:C_0805","3","","",""
"DA1","BAV756S","datasheets/BAV756S.pdf","000_LOCAL:SOT-363","1","","BAV756S,115","DIODE ARRAY GP 90V 250MA 6TSSOP"
"J1","Model_100_System_BUS","datasheets/TRS-80_Model_100_User_Guide.pdf","000_LOCAL:DIP-40_PCB","1","","",""
"R1","1k","~","000_LOCAL:R_0805","1","","",""
"R2","470k","~","000_LOCAL:R_0805","1","","",""
"U1","AS6C1008","datasheets/AS6C1008.pdf","000_LOCAL:TSOP32-dual","1","","AS6C1008-55STIN","IC SRAM 1Mx8 PARALLEL 5V 32STSOP"
"U2","HC573","datasheets/HC573.pdf","000_LOCAL:TSSOP-20_4.4x6.5mm_P0.65mm","1","","74AHC573PW,118","IC D-TYPE TRANSP SGL 8:8 20TSSOP"
"U3","2G79","datasheets/2G79.pdf","000_LOCAL:VSSOP-8_2.3x2mm_P0.5mm","1","","SN74LVC2G79DCTR","IC FF D-TYPE DUAL 1BIT SM8"
"U4","HC02","datasheets/HC02.pdf","000_LOCAL:TSSOP-14_4.4x5mm_P0.65mm","1","","74HC02PW,118","IC GATE NOR 4CH 2-INP 14TSSOP"
